Country;Year;Continent
Aragon-Castile;1479;Europe
Netherlands 1581;1609;Europe
England/UK;1690;Europe
Thailand;1767;Asia
United States;1783;Americas
Haiti;1804;Americas
Paraguay;1811;Europe
Liechtenstein;1813;Europe
Netherlands;1815;Europe
Argentina;1816;Americas
Central America;1822;Americas
Mexico;1823;Americas
Bolivia;1824;Americas
Peru;1824;Americas
Chile;1826;Americas
Ecuador;1830;Americas
Venezuela;1830;Americas
Colombia;1830;Americas
Nicaragua;1830;Americas
Greece ;1830;Europe
Spain;1831;Europe
Luxembourg;1839;Europe
El Salvador;1841;Americas
Dominican Republic ;1844;Americas
Costa Rica;;Americas
Honduras;;Americas
Guatemala;;Americas
 Liberia;1847;Africa
Italy ;1860;Europe
Monaco;1861;Europe
Canada;1867;Americas
Germany ;1871;Europe
Romania;1878;Europe
Australia;1901;Oceania
Cuba;1902;Americas
Panama;1903;Americas
Norway;1905;Europe
New Zealand;1907;Oceania
Bulgaria ;1908;Europe
South Africa;1910;Africa
Mongolia;1911;Asia
Albania;1912;Europe
Estonia;1918;Europe
Finland;1918;Europe
Latvia;1918;Europe
Lithuania;1918;Europe
Poland ;1918;Europe
Iceland;1918;Europe
Austria;1918;Europe
Ireland;1922;Africa
Egypt;1922;Africa
Ethiopia;1923;Africa
Iraq;1932;Asia
Syria;1941;Asia
Lebanon;1943;Asia
Arabia;1945;Asia
Indonesia;1945;Asia
Jordan;1946;Asia
Pakistan;1947;Asia
North Korea;1948;Asia
South Korea;1948;Asia
Myanmar;1948;Asia
Sri Lanka;1948;Asia
Libya ;1951;Africa
Cambodia;1955;Asia
Laos;1955;Asia
Nepal;1955;Asia
Oman - 1971;1956;Asia
Morocco;1956;Africa
Sudan;1956;Africa
Tunisia;1956;Africa
Malaya;1957;Asia
Ghana;1957;Africa
Cyprus;1960;Asia
Benin;1960;Africa
Burkina Faso;1960;Africa
Cameroon;1960;Africa
Central African Rep;1960;Africa
Gabon ;1960;Africa
Chad;1960;Africa
Côte d'Ivoire;1960;Africa
Guinea;1960;Africa
Madagascar;1960;Africa
Mali;1960;Africa
Mauritania;1960;Africa
Niger;1960;Africa
Nigeria;1960;Africa
Senegal;1960;Africa
Somalia;1960;Africa
Togo;1960;Africa
Sierra Leone;1961;Africa
Tanzania;1961;Africa
Jamaica;1962;Americas
Trinidad & Tobaco;1962;Americas
Burundi;1962;Africa
Rwanda;1962;Africa
Uganda;1962;Africa
Samoa;1962;Oceania
Solomons;1962;Oceania
Malaysia;1963;Asia
Algeria;1963;Africa
Kenya;1963;Africa
Malta ;1964;Africa
Malawi;1964;Africa
Zambia;1964;Africa
Maldives;1965;Asia
Singapore;1965;Asia
Gambia;1965;Africa
Barbados;1966;Asia
Grenada;1966;Asia
Botswana;1966;Africa
Swaziland;1966;Africa
Lesotho;1966;Africa
Yemen ;1967;Asia
Equatorial Guinea;1968;Africa
Nauri;1968;Oceania
Fiji;1970;Oceania
Tonga;1970;Oceania
Bahrain;1971;Asia
Bangla Desh;1971;Asia
Qatar;1971;Asia
United Arab Rep. ;1971;Asia
Bahamas;1973;Americas
Suriname;1975;Americas
Angola;1975;Africa
Cape Verde;1975;Africa
Comoros;1975;Africa
Mozambique;1975;Africa
São Tomé & Pr;1975;Africa
Samoa;1975;Oceania
Seychelles;1976;Africa
Tuvalu;1976;Oceania
Vietnam;1977;Asia
Djibouti;1977;Africa
Dominica;1978;Americas
St. Lucia;1979;Americas
St. Vincent;1979;Americas
Kiribati;1979;Oceania
Zimbabwe;1980;Africa
Vanuatu;1980;Oceania
Antigua;1981;Americas
Belize;1981;Americas
St. Kitts;1983;Americas
Bhutan;1984;Asia
Marshall Is;1986;Oceania
Micronesia;1986;Oceania
Latvia;1990;Europe
Lithuania;1990;Europe
Liechtenstein;1990;Europe
Namibia;1990;Africa
Ukraine;1991;Europe
North Macedonia;1991;Europe
Moldova;1991;Europe
Germany ;1991;Europe
Estonia;1991;Europe
Croatia;1991;Europe
Kyrgyzstan;1991;Asia
Tajikistan;1991;Asia
Turkmenistan;1991;Asia
Uzbekistan;1991;Asia
Armenia;1991;Asia
Azerbaijan;1991;Asia
Georgia;1991;Asia
Kazakhstan;1991;Asia
Bosnia-Herzegovina;1992;Europe
Serbia;1992;Europe
San Marino;1992;Europe
Czech Republic;1993;Europe
Slovakia;1993;Europe
Eritrea;1993;Africa
Palau;1994;Oceania
Belarus;1996;Europe
Timor Leste;2002;Asia
South Sudan;2011;Africa
